,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Petroleum Planning & Analysis Cell,,,,,,,,,
,,,,,,,,,,,,,
2019-20,,,,,,,,,,,,,
('000 Metric Tonnes),,,,,,,,,,,,,
Import/Export of Crude oil and Petroleum Products,,,,,,,,,,,,,
IMPORT/EXPORT,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,JANUARY,FEBRUARY,MARCH,TOTAL
IMPORT^,,,,,,,,,,,,,
 CRUDE OIL,19712,18869,16866,19411,19787,16821,19303,19171,18714,20138,18647,19515,226955
PRODUCTS,,,,,,,,,,,,,
LPG,1262,1037,958,857,1220,1573,1413,1302,1227,1411,1330,1218,14809
MS,119,125,183,245,174,409,193,138,226,198,61,74,2146
Naphtha,119,122,70,203,203,259,118,100,135,177,65,90,1662
ATF,65,0,0,0,0,0,0,0,0,0,0,0,65
SKO,0,0,0,0,0,0,0,0,0,0,0,0,0
HSD,135,201,443,115,46,140,70,11,507,699,278,148,2796
LOBS/ Lube oil,182,271,236,251,219,187,260,218,180,269,207,194,2675
Fuel Oil,34,97,285,127,286,371,325,257,625,825,483,868,4583
Bitumen,113,137,126,93,52,63,114,120,155,210,245,200,1630
Others&,1570,1748,1135,1128,950,1034,1027,827,1154,1030,840,980,13423
PRODUCT IMPORT*,3599,3739,3438,3019,3151,4036,3521,2972,4210,4819,3510,3772,43788
TOTAL IMPORT,23311,22609,20304,22431,22938,20858,22824,22143,22924,24958,22157,23287,270742
 PRODUCT EXPORT @,,,,,,,,,,,,,
LPG,38,36,34,38,32,40,37,42,42,39,41,45,463
MS!,1002,1377,841,1156,904,1133,994,993,1329,813,1027,1141,12710
Naphtha$,615,974,548,401,681,780,880,736,973,787,701,820,8897
ATF#,554,473,634,484,544,720,618,714,656,497,525,488,6906
SKO,2,2,2,2,2,2,1,2,21,59,21,61,176
HSD,2017,2101,2220,2614,2357,3322,3119,3270,3143,2141,2390,2958,31653
LDO,0,0,0,0,0,0,0,0,0,0,0,0,0
LOBS/ Lube Oil,0,1,1,1,1,1,1,1,1,1,1,0,8
Fuel Oil,55,99,127,152,171,365,157,152,33,0,103,114,1527
Bitumen,4,3,1,1,4,2,2,2,0,4,2,0,25
Others%,121,369,282,222,608,219,163,221,286,308,224,297,3319
TOTAL  PRODUCT EXPORT,4407,5434,4689,5071,5305,6584,5971,6131,6483,4650,5035,5926,65685
NET IMPORT,18904,17175,15615,17360,17632,14274,16854,16012,16440,20307,17121,17362,205057
Source: Oil Companies & DGCIS  P= Provisional,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
RIL SEZ imports/exports included in country's import/export data,,,,,,,,,,,,,
^LNG import not included ,,,,,,,,,,,,,
"& Others in import include Petcoke, Paraffin wax, Petroleum Jelly, Aviation Gas, MTBE, Reformate etc.",,,,,,,,,,,,,
"@ Nepal sales by IOCL, Nepal and Bhutan sales by BPCL are considered in total exports with average Rupee-US$ exchange rate ",,,,,,,,,,,,,
! RIL SEZ's MS export includes export of Alkylates,,,,,,,,,,,,,
# ATF exports by RIL  does not include ATF sales to foreign going airlines,,,,,,,,,,,,,
"% Others in export include Petcoke/CBFS, Benzene, Hexane, MTO, Sulphur etc.",,,,,,,,,,,,,
