,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Petroleum Planning & Analysis Cell,,,,,,,,,
,,,,,,,,,,,,,
2020-21,,,,,,,,,,,,,
('000 Metric Tonnes),,,,,,,,,,,,,
Import/Export of Crude oil and Petroleum Products,,,,,,,,,,,,,
IMPORT/EXPORT,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,JANUARY,FEBRUARY,MARCH,TOTAL
IMPORT^,,,,,,,,,,,,,
 CRUDE OIL,16553,14607,13677,12335,16859,15180,15381,18290,20489,19594,15235,18261,196461
PRODUCTS,,,,,,,,,,,,,
LPG,1358,1487,1218,986,1228,1638,1426,1394,1503,1363,1521,1355,16476
MS,0,0,35,38,35,75,131,155,544,124,82,133,1351
Naphtha,26,44,176,157,124,86,154,169,82,48,104,29,1199
ATF,0,0,0,0,0,0,0,0,0,0,0,0,0
SKO,0,0,0,2,0,0,0,0,0,0,0,0,3
HSD,34,37,70,136,4,2,14,3,246,73,18,9,648
LOBS/ Lube oil,154,91,118,203,244,238,271,306,300,284,252,231,2693
Fuel Oil,379,460,550,1193,485,238,167,224,478,381,792,1108,6454
Bitumen,92,121,182,160,86,108,114,161,228,279,265,259,2055
Petcoke,557,1891,706,875,864,617,747,597,506,256,86,553,8256
Others&,216,165,322,292,178,101,175,1745,112,241,243,324,4112
PRODUCT IMPORT*,2816,4296,3377,4042,3247,3102,3200,4755,3999,3048,3364,4002,43248
TOTAL IMPORT,19369,18903,17054,16377,20106,18282,18581,23045,24489,22642,18599,22263,239709
 PRODUCT EXPORT @,,,,,,,,,,,,,
LPG,35,32,32,31,34,39,36,39,41,46,41,47,452
MS!,932,1108,985,1012,874,984,797,895,954,890,884,1290,11606
Naphtha$,683,642,440,299,547,609,284,442,611,599,553,801,6509
ATF#,439,304,255,225,141,267,176,273,314,304,433,413,3544
SKO,0,0,1,2,1,1,2,2,2,2,1,2,15
HSD,3404,2786,2094,2058,2790,2673,2373,2244,2653,2324,2109,3069,30576
LDO,0,0,0,0,0,0,0,0,0,0,0,0,0
LOBS/ Lube Oil,0,3,5,3,0,1,1,0,0,0,1,1,15
Fuel Oil,178,235,137,62,0,21,82,28,48,112,75,200,1177
Bitumen,0,0,0,0,0,2,2,0,2,0,0,0,7
Petcoke / CBFS,59,207,242,54,7,6,0,0,0,1,1,0,577
Others%,309,436,224,175,197,198,87,139,67,151,50,256,2290
TOTAL  PRODUCT EXPORT,6040,5752,4414,3921,4591,4799,3840,4062,4693,4429,4148,6080,56769
NET IMPORT,13328,13150,12640,12457,15515,13482,14741,18983,19796,18213,14451,16183,182940
Source: Oil Companies & DGCIS  P= Provisional,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
RIL SEZ imports/exports included in country's import/export data,,,,,,,,,,,,,
^LNG import not included ,,,,,,,,,,,,,
"& Others in import include Paraffin wax, Petroleum Jelly, Aviation Gas, MTBE, Reformate etc.",,,,,,,,,,,,,
"@ Nepal sales by IOCL, Nepal and Bhutan sales by BPCL are considered in total exports with average Rupee-US$ exchange rate ",,,,,,,,,,,,,
! RIL SEZ's MS export includes export of Alkylates,,,,,,,,,,,,,
# ATF exports by RIL  does not include ATF sales to foreign going airlines,,,,,,,,,,,,,
"% Others in export include Benzene, Hexane, MTO, Sulphur etc.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
