,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Petroleum Planning & Analysis Cell,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Period : 1998-99 - 2020-21,,,,,,,,,,,,,,,,,,,,,,,
('000 Metric Tonnes),,,,,,,,,,,,,,,,,,,,,,,
Import/Export of Crude oil and Petroleum Products,,,,,,,,,,,,,,,,,,,,,,,
IMPORT/EXPORT,1998-99,1999-2000,2000-01,2001-02 ,2002-03,2003-04,2004-05,2005-06,2006-07 ,2007-08 ,2008-09 ,2009-10 ,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16 ,2016-17 ,2017-18 ,2018-19,2019-20,2020-21
IMPORT^,,,,,,,,,,,,,,,,,,,,,,,
ATF#,0,0,160,194,697,"1,660","2,480","2,828","3,652","4,486",3701,4588,4478,4561,4664,5745,5520,5686,7271,7183,7389,6906,3544
SKO,0,0,0,0,0,0,207,121,150,137,77,46,33,34,23,15,15,10,15,17,19,176,15
HSD,0,0,"1,597","2,860","3,178","6,181","7,286","8,504","11,369","14,308",14720,18451,20335,20407,22464,26469,25559,24037,27302,29717,27833,31653,30576
LDO,0,0,10,30,0,0,0,0.2,0.1,0,0.4,41,98,84,9,30,6,0,151,18,99,0,0
LOBS/ Lube Oil,0,0,0,0,23,17,5,291,509,311,139,28,29,27,59,20,11,17,13,13,8,8,15
Fuel Oil,0,0,508,482,"1,120","1,310","1,792","1,815","3,759","4,718",6207,5186,6734,7895,5922,6159,4762,2806,2248,2525,2197,1527,1177
Bitumen,0,0,0,0,0,4,47,33,66,43,45,31,56,5,87,95,94,101,38,64,23,25,7
Others%,0,32,"2,006","1,578",868,293,427,"2,333","1,980","3,122",905,2839,2927,2988,4675,5535,4653,3753,4017,3949,3264,3319,2867
TOTAL EXPORT,720,746,"8,365","10,085","10,289","14,620","18,211","23,460","33,624","40,779","38,944","51,155","59,077","60,837","63,408","67,864","63,932","60,539","65,513","66,833","61,096","65,685","56,769"
,,,,,,,,,,,,,,,,,,,,,,,
NET IMPORT,"62,859","73,666","74,999","75,630","78,928","83,815","86,478","89,390","95,538","1,03,355","1,12,416","1,22,769","1,21,897","1,26,741","1,37,742","1,38,071","1,46,804","1,71,768","1,84,706","1,89,061","1,98,750","2,05,057","1,82,940"
,,,,,,,,,,,,,,,,,,,,,,,
Net Product Export,"-23,051","-15,861",-902,"3,076","3,061","6,619","9,383","10,019","15,964","18,317","20,359","36,490","41,698","44,988","47,054","51,167","42,631","31,083","29,226","31,372","27,747","21,898","13,521"
Source: Oil Companies & DGCIS  P= Provisional,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,
RIL SEZ imports/exports included in country's import/export data,,,,,,,,,,,,,,,,,,,,,,,
^LNG import not included ,,,,,,,,,,,,,,,,,,,,,,,
"& Others in import include Petcoke, Paraffin wax, Petroleum Jelly, Aviation Gas, MTBE, Reformate etc.",,,,,,,,,,,,,,,,,,,,,,,
"@ Nepal sales by IOCL, Nepal and Bhutan sales by BPCL are considered in total exports with average Rupee-US$ exchange rate ",,,,,,,,,,,,,,,,,,,,,,,
! RIL SEZ's MS export includes export of Alkylates,,,,,,,,,,,,,,,,,,,,,,,
# ATF exports by RIL  does not include ATF sales to foreign going airlines,,,,,,,,,,,,,,,,,,,,,,,
"% Others in export include Petcoke/CBFS, Benzene, Hexane, MTO, Sulphur etc.",,,,,,,,,,,,,,,,,,,,,,,
