,Year,Total vehicles,No of EV,EV market share (selling percent yearwise),Total vehicles oil consump (in Mb),oil consump reduced bcoz of EV (in Mb),electricity required (kWh),Resulting Consumption,electricity price(Rs/kWh),electricity cost of EV(Cr),Oil cost saved bcoz of EV(Cr),Effective money saved bcoz of EV introduction(Cr)
0,2022,25902352,571780,2.207444327835557,986.9897100664332,21.78726,4118092294.642857,965.2024500664332,6.907,2844.3663479098213,10389.615726629214,7545.249378719393
1,2023,27144604,849822,3.1307216712389687,1034.324791502646,32.381843,6120615324.107143,1001.9429485026459,7.163,4384.196756657947,14994.967414877863,10610.770658219917
2,2024,28446433,1263069,4.440166540388386,1083.9300098730114,48.128299,9096916150.446428,1035.8017108730114,7.418,6748.09240040116,21674.583067116662,14926.490666715501
3,2025,29810697,1877267,6.297293216592688,1135.9142671255602,71.531851,13520512728.125,1064.3824161255602,7.674,10375.641467563126,31446.503579450964,21070.862111887836
4,2026,31240389,2790134,8.931175600918413,1190.391609282145,106.315947,20095192777.678574,1084.075662282145,7.929,15933.47835342134,45951.74969922384,30018.271345802495
5,2027,32738648,4146904,12.666692894587461,1247.4816455851967,158.014653,29866965282.142857,1089.4669925851967,8.184,24443.124386905714,67976.93183847716,43533.80745157145
6,2028,34308762,6163436,17.964612071983243,1307.3096628104759,234.853109,44390496869.64286,1072.456553810476,8.44,37465.57935797857,102532.83408364463,65067.25472566606
7,2029,35954177,9160556,25.478419378087835,1370.006968205328,349.056125,65976450869.64286,1020.9508432053278,8.695,57366.52403115447,159144.4383653163,101777.91433416185
8,2030,37678505,13615099,36.134923612282385,1435.7111943226873,518.793127,98059103645.98215,916.9180673226873,8.95,87762.89776315402,256803.51377523682,169040.61601208278
